"iter","draw","step","Corley_adeno_prev_male_50_54","Corley_adeno_prev_male_55_59","Corley_adeno_prev_male_60_64","Corley_adeno_prev_male_65_69","Corley_adeno_prev_male_70_74","Corley_adeno_prev_male_75plus","Corley_adeno_prev_fem_50_54","Corley_adeno_prev_fem_55_59","Corley_adeno_prev_fem_60_64","Corley_adeno_prev_fem_65_69","Corley_adeno_prev_fem_70_74","Corley_adeno_prev_fem_75plus","UKFSS_screen_det_crc_male","UKFSS_screen_det_crc_fem","SEER_inc_colon_fem_20_49","SEER_inc_colon_fem_50_59","SEER_inc_colon_fem_60_69","SEER_inc_colon_fem_70_84","SEER_inc_colon_fem_85_100","SEER_inc_colon_male_20_49","SEER_inc_colon_male_50_59","SEER_inc_colon_male_60_69","SEER_inc_colon_male_70_84","SEER_inc_colon_male_85_100","SEER_inc_rectal_fem_20_49","SEER_inc_rectal_fem_50_59","SEER_inc_rectal_fem_60_69","SEER_inc_rectal_fem_70_84","SEER_inc_rectal_fem_85_100","SEER_inc_rectal_male_20_49","SEER_inc_rectal_male_50_59","SEER_inc_rectal_male_60_69","SEER_inc_rectal_male_70_84","SEER_inc_rectal_male_85_100","Pickhardt_pct_adeno_lt_6mm","Pickhardt_pct_adeno_6_to_lt10mm","Pickhardt_pct_adeno_10plusmm","Church_pct_crc_6_to_lt10mm","Church_pct_crc_10plusmm","Lieberman_pct_crc_6_to_lt10mm","Lieberman_pct_crc_10plusmm","actual_iter"
1,4,0,0.3025,0.3194,0.3502,0.3567,0.3675,0.3902,0.2125,0.2344,0.2444,0.2543,0.2625,0.2727,0.0045,0.0033,1e-04,6e-04,0.0014,0.002,0.0028,0,6e-04,0.0014,0.0024,0.0035,1e-04,4e-04,6e-04,5e-04,6e-04,1e-04,6e-04,9e-04,0.0011,0.0012,0.5663,0.2926,0.141,0.0087,0.0408,0.0085,0.0605,1
1,5,0,0.2925,0.3159,0.3354,0.3476,0.3677,0.3789,0.1945,0.2156,0.2236,0.2358,0.25,0.2662,0.0044,0.0026,1e-04,9e-04,0.0016,0.0021,0.003,1e-04,0.001,0.0019,0.0028,0.0045,0,3e-04,5e-04,6e-04,8e-04,1e-04,5e-04,8e-04,0.0011,0.0011,0.5753,0.2601,0.1647,0.0116,0.0418,0.012,0.0619,1
1,9,0,0.303,0.3203,0.3435,0.3605,0.3765,0.3843,0.1919,0.2127,0.2288,0.2398,0.2496,0.2575,0.0042,0.0033,1e-04,6e-04,0.0013,0.0023,0.0029,1e-04,7e-04,0.0015,0.0026,0.0039,0,4e-04,7e-04,8e-04,7e-04,0,5e-04,0.001,0.0012,0.0017,0.5588,0.2613,0.1799,0.0083,0.0381,0.0075,0.0563,1
1,10,0,0.2778,0.2972,0.3241,0.3438,0.3696,0.3893,0.193,0.2104,0.2292,0.2549,0.2597,0.2851,0.0038,0.0025,0,5e-04,0.0011,0.0019,0.0031,0,6e-04,0.0012,0.0022,0.0037,0,3e-04,6e-04,7e-04,0.0013,1e-04,5e-04,0.001,0.0014,0.0017,0.5772,0.265,0.1578,0.0079,0.0371,0.0074,0.0526,1
1,11,0,0.3173,0.3444,0.3663,0.3827,0.4013,0.4149,0.2289,0.2467,0.2578,0.2786,0.294,0.3129,0.0038,0.0031,0,6e-04,0.0013,0.0021,0.0036,1e-04,7e-04,0.0015,0.0025,0.0037,0,3e-04,6e-04,7e-04,0.001,0,4e-04,8e-04,0.0011,0.0015,0.5539,0.2688,0.1773,0.007,0.0327,0.0083,0.05,1
1,19,0,0.2819,0.3061,0.3254,0.3329,0.3462,0.3699,0.1918,0.2091,0.2176,0.2337,0.2405,0.2554,0.0038,0.002,1e-04,5e-04,0.0011,0.0019,0.0023,1e-04,6e-04,0.0014,0.0024,0.0031,0,2e-04,3e-04,6e-04,6e-04,0,4e-04,8e-04,8e-04,6e-04,0.562,0.2752,0.1627,0.0086,0.0393,0.0093,0.0544,1
1,22,0,0.2563,0.2807,0.2938,0.312,0.3283,0.3439,0.1728,0.1851,0.2007,0.2106,0.2219,0.2382,0.0044,0.0032,1e-04,6e-04,0.0014,0.0019,0.0032,1e-04,7e-04,0.0015,0.0025,0.0037,0,3e-04,5e-04,7e-04,7e-04,1e-04,5e-04,8e-04,9e-04,0.001,0.5589,0.2692,0.1719,0.0098,0.0523,0.0103,0.0704,1
1,29,0,0.2596,0.287,0.2996,0.3323,0.3395,0.3632,0.1731,0.1909,0.2057,0.2221,0.2248,0.2481,0.0021,0.0015,0,5e-04,0.0012,0.0019,0.0028,0,5e-04,0.0013,0.0024,0.0039,7.03e-06,1e-04,3e-04,4e-04,6e-04,0,2e-04,5e-04,6e-04,0.001,0.5546,0.2708,0.1746,0.008,0.0299,0.0092,0.0457,1
1,32,0,0.2762,0.2953,0.3218,0.3364,0.3503,0.3603,0.1853,0.2015,0.2185,0.2288,0.239,0.2561,0.0025,0.0017,0,6e-04,0.0013,0.0021,0.0019,1e-04,8e-04,0.0017,0.0024,0.0032,0,1e-04,3e-04,4e-04,5e-04,0,2e-04,4e-04,5e-04,6e-04,0.5685,0.2775,0.154,0.0086,0.0333,0.01,0.0498,1
1,39,0,0.3186,0.3327,0.3592,0.3882,0.4064,0.4265,0.2167,0.2401,0.2496,0.27,0.2913,0.3117,0.0045,0.0021,0,3e-04,7e-04,0.0015,0.0021,0,4e-04,8e-04,0.0016,0.0028,0,3e-04,6e-04,8e-04,9e-04,1e-04,7e-04,0.0011,0.0014,0.0017,0.563,0.2775,0.1595,0.0044,0.0305,0.0043,0.0458,1
1,42,0,0.2558,0.272,0.2982,0.3152,0.3262,0.3397,0.165,0.1886,0.1983,0.2123,0.2264,0.242,0.0029,0.0016,0,3e-04,8e-04,0.0012,0.0021,0,4e-04,0.001,0.0016,0.0024,0,2e-04,4e-04,5e-04,6e-04,0,3e-04,6e-04,7e-04,8e-04,0.5767,0.2717,0.1516,0.0095,0.0338,0.0099,0.05,1
1,47,0,0.245,0.2596,0.2886,0.3062,0.3211,0.3452,0.1563,0.1755,0.1846,0.2045,0.2245,0.2416,0.0025,0.0022,0,3e-04,8e-04,0.0014,0.0028,0,3e-04,0.001,0.0017,0.003,0,2e-04,5e-04,7e-04,8e-04,0,4e-04,8e-04,0.0011,0.0017,0.554,0.2778,0.1682,0.0074,0.0341,0.007,0.049,1
1,48,0,0.2596,0.2826,0.2941,0.3114,0.3252,0.3356,0.1687,0.1831,0.1899,0.2019,0.2103,0.2135,0.0033,0.0023,1e-04,7e-04,0.0015,0.0019,0.0031,1e-04,8e-04,0.0015,0.0026,0.0035,0,2e-04,4e-04,6e-04,5e-04,0,4e-04,7e-04,8e-04,9e-04,0.5587,0.2708,0.1706,0.0113,0.0483,0.011,0.0627,1
1,50,0,0.2694,0.2865,0.3135,0.3285,0.3451,0.3498,0.175,0.1849,0.2016,0.2119,0.2268,0.2405,0.0035,0.002,1e-04,7e-04,0.0012,0.0017,0.0029,1e-04,8e-04,0.0016,0.0024,0.0036,0,3e-04,4e-04,5e-04,7e-04,1e-04,5e-04,8e-04,0.001,0.001,0.5659,0.2802,0.1539,0.0105,0.0377,0.0118,0.0558,1
1,56,0,0.2857,0.3056,0.3253,0.3532,0.3673,0.3905,0.1944,0.2073,0.2228,0.2431,0.2594,0.2814,0.004,0.0028,0,5e-04,9e-04,0.0017,0.0028,0,5e-04,0.0011,0.002,0.0028,0,3e-04,6e-04,7e-04,0.001,1e-04,5e-04,9e-04,0.001,0.0015,0.569,0.2659,0.165,0.0066,0.037,0.0069,0.0531,1
1,61,0,0.2616,0.2901,0.3077,0.3216,0.3334,0.3485,0.1725,0.197,0.2139,0.2242,0.237,0.2418,0.0049,0.0029,0,6e-04,0.0011,0.0017,0.0021,1e-04,7e-04,0.0017,0.0026,0.0034,0,2e-04,6e-04,6e-04,7e-04,1e-04,7e-04,0.001,0.0012,0.0012,0.5802,0.2471,0.1727,0.0091,0.0475,0.0093,0.0668,1
1,69,0,0.2607,0.2824,0.3036,0.3257,0.3404,0.3556,0.1804,0.2007,0.2129,0.2253,0.2378,0.2553,0.0027,0.0019,0,5e-04,8e-04,0.0017,0.0028,0,4e-04,0.001,0.0019,0.0028,0,2e-04,3e-04,5e-04,9e-04,0,3e-04,6e-04,9e-04,0.001,0.5605,0.2712,0.1683,0.0079,0.0334,0.0074,0.0473,1
1,73,0,0.2919,0.321,0.3312,0.3584,0.382,0.4003,0.1911,0.2096,0.2245,0.233,0.2558,0.2733,0.0026,0.0017,0,5e-04,0.0014,0.0021,0.003,1e-04,7e-04,0.0017,0.0029,0.0046,6.3932e-06,1e-04,3e-04,5e-04,6e-04,0,2e-04,4e-04,7e-04,9e-04,0.5608,0.2623,0.1768,0.01,0.0291,0.0095,0.0442,1
1,84,0,0.2698,0.2926,0.3156,0.3337,0.3493,0.3659,0.187,0.2129,0.2285,0.2367,0.256,0.264,0.0022,0.0013,0,5e-04,0.001,0.0017,0.0026,0,5e-04,0.0012,0.0019,0.0034,0,1e-04,2e-04,3e-04,5e-04,0,2e-04,3e-04,4e-04,8e-04,0.5662,0.2849,0.1489,0.0061,0.0261,0.0064,0.0372,1
1,88,0,0.2926,0.3164,0.3419,0.366,0.3825,0.4021,0.1973,0.2172,0.24,0.2576,0.2716,0.293,0.0031,0.002,0,3e-04,8e-04,0.0016,0.0025,0,4e-04,0.0012,0.002,0.004,0,2e-04,4e-04,7e-04,7e-04,0,4e-04,7e-04,0.001,0.0012,0.5839,0.267,0.1491,0.0076,0.0332,0.0066,0.0465,1
1,93,0,0.2856,0.3165,0.3408,0.3534,0.372,0.3832,0.2004,0.2234,0.2393,0.2612,0.2668,0.2804,0.0032,0.0023,0,5e-04,0.0012,0.002,0.003,0,5e-04,0.0014,0.0026,0.004,0,3e-04,5e-04,8e-04,0.001,0,4e-04,8e-04,0.0011,0.0016,0.5617,0.2755,0.1627,0.0086,0.035,0.0076,0.0487,1
1,102,0,0.3028,0.3291,0.3503,0.362,0.3726,0.393,0.2153,0.2262,0.2464,0.2561,0.2728,0.2818,0.0039,0.0025,0,6e-04,0.0011,0.0019,0.0024,1e-04,8e-04,0.0016,0.0026,0.0036,0,2e-04,4e-04,7e-04,9e-04,0,4e-04,8e-04,0.0011,0.0011,0.5707,0.25,0.1793,0.007,0.0377,0.0067,0.0526,1
1,105,0,0.2556,0.2777,0.2967,0.3178,0.3215,0.3478,0.1562,0.1764,0.1876,0.2088,0.2113,0.2369,0.0022,0.0012,8.3134e-06,2e-04,6e-04,0.0011,0.0016,0,2e-04,8e-04,0.0014,0.0023,6.3949e-06,1e-04,3e-04,4e-04,6e-04,0,2e-04,5e-04,9e-04,9e-04,0.558,0.2745,0.1675,0.0064,0.027,0.0059,0.036,1
