parameter_name ,min,max
AdRiskMultVariance,999,999
Alpha_pNL,999,999
Beta_Age_pNL,999,999
Beta_Age2_pNL,999,999
pLRMR_P,999,999
pLRMR_D,999,999
pLRMR_R,999,999
pMRHR_P,999,999
pMRHR_D,999,999
pMRHR_R,999,999
Alpha_pH1_P,999,999
Alpha_pH1_D,999,999
Alpha_pH1_R,999,999
Beta_Age_pH1_P,999,999
Beta_Age_pH1_D,999,999
Beta_Age_pH1_R,999,999
Beta_Age2_pH1_P,999,999
Beta_Age2_pH1_D,999,999
Beta_Age2_pH1_R,999,999
pS1S2_P,999,999
pS1S2_D,999,999
pS1S2_R,999,999
pS2S3_P,999,999
pS2S3_D,999,999
pS2S3_R,999,999
pS3S4_P,999,999
pS3S4_D,999,999
pS3S4_R,999,999
AdGrowthMultVariance,999,999
AdGrowth_Janoschek_Asymptote,30,30
