target_names,target_groups,targets,current_lower_bounds,current_upper_bounds,stopping_lower_bounds,stopping_upper_bounds,Weight
Prev0AdOrPreClin_age27,Prev0Ad,0.88,0.7,1,0.7,1,1.136363636
Prev0AdOrPreClin_age32,Prev0Ad,0.86,0.64,1,0.64,1,1.162790698
Prev0AdOrPreClin_age37,Prev0Ad,0.82,0.6,0.99,0.6,0.99,1.219512195
Prev0AdOrPreClin_age42,Prev0Ad,0.79,0.54,0.99,0.54,0.99,1.265822785
Prev0AdOrPreClin_age47,Prev0Ad,0.76,0.49,0.98,0.49,0.98,1.315789474
Prev0AdOrPreClin_age52,Prev0Ad,0.73,0.44,0.86,0.44,0.86,1.369863014
Prev0AdOrPreClin_age57,Prev0Ad,0.7,0.39,0.83,0.39,0.83,1.428571429
Prev0AdOrPreClin_age62,Prev0Ad,0.66,0.35,0.8,0.35,0.8,1.515151515
Prev0AdOrPreClin_age67,Prev0Ad,0.63,0.3,0.78,0.3,0.78,1.587301587
Prev0AdOrPreClin_age72,Prev0Ad,0.59,0.26,0.77,0.26,0.77,1.694915254
Prev0AdOrPreClin_age77,Prev0Ad,0.55,0.21,0.77,0.21,0.77,1.818181818
Prev0AdOrPreClin_age82,Prev0Ad,0.52,0.17,0.85,0.17,0.85,1.923076923
Prev0AdOrPreClin_age87,Prev0Ad,0.48,0.13,0.82,0.13,0.82,2.083333333
Prev0AdOrPreClin_age92,Prev0Ad,0.44,0.1,0.78,0.1,0.78,2.272727273
Prev0AdOrPreClin_age97,Prev0Ad,0.4,0.07,0.74,0.07,0.74,2.5
Prev1AdOrPreClin_age27,Prev1Ad,0.09,0.01,0.234,0.01,0.18,11.11111111
Prev1AdOrPreClin_age32,Prev1Ad,0.1,0.02,0.26,0.02,0.2,10
Prev1AdOrPreClin_age37,Prev1Ad,0.11,0.03,0.273,0.03,0.21,9.090909091
Prev1AdOrPreClin_age42,Prev1Ad,0.12,0.04,0.273,0.04,0.21,8.333333333
Prev1AdOrPreClin_age47,Prev1Ad,0.14,0.05,0.286,0.05,0.22,7.142857143
Prev1AdOrPreClin_age52,Prev1Ad,0.15,0.06,0.286,0.06,0.22,6.666666667
Prev1AdOrPreClin_age57,Prev1Ad,0.16,0.07,0.286,0.07,0.22,6.25
Prev1AdOrPreClin_age62,Prev1Ad,0.171,0.08,0.286,0.08,0.22,5.847953216
Prev1AdOrPreClin_age67,Prev1Ad,0.174,0.09,0.286,0.09,0.22,5.747126437
Prev1AdOrPreClin_age72,Prev1Ad,0.181,0.1,0.286,0.1,0.22,5.524861878
Prev1AdOrPreClin_age77,Prev1Ad,0.184,0.11,0.286,0.11,0.22,5.434782609
Prev1AdOrPreClin_age82,Prev1Ad,0.19,0.12,0.286,0.12,0.22,5.263157895
Prev1AdOrPreClin_age87,Prev1Ad,0.19,0.12,0.286,0.12,0.22,5.263157895
Prev1AdOrPreClin_age92,Prev1Ad,0.19,0.12,0.299,0.12,0.23,5.263157895
Prev1AdOrPreClin_age97,Prev1Ad,0.18,0.11,0.286,0.11,0.22,5.555555556
Prev2AdOrPreClin_age27,Prev2Ad,0.02,0,0.09,0,0.06,50
Prev2AdOrPreClin_age32,Prev2Ad,0.031,0,0.12,0,0.08,32.25806452
Prev2AdOrPreClin_age37,Prev2Ad,0.034,0,0.12,0,0.08,29.41176471
Prev2AdOrPreClin_age42,Prev2Ad,0.041,0,0.135,0,0.09,24.3902439
Prev2AdOrPreClin_age47,Prev2Ad,0.044,0,0.15,0,0.1,22.72727273
Prev2AdOrPreClin_age52,Prev2Ad,0.05,0,0.165,0,0.11,20
Prev2AdOrPreClin_age57,Prev2Ad,0.061,0.01,0.18,0.01,0.12,16.39344262
Prev2AdOrPreClin_age62,Prev2Ad,0.064,0.01,0.18,0.01,0.12,15.625
Prev2AdOrPreClin_age67,Prev2Ad,0.07,0.02,0.18,0.02,0.12,14.28571429
Prev2AdOrPreClin_age72,Prev2Ad,0.081,0.02,0.18,0.02,0.12,12.34567901
Prev2AdOrPreClin_age77,Prev2Ad,0.084,0.03,0.195,0.03,0.13,11.9047619
Prev2AdOrPreClin_age82,Prev2Ad,0.091,0.04,0.195,0.04,0.13,10.98901099
Prev2AdOrPreClin_age87,Prev2Ad,0.094,0.04,0.195,0.04,0.13,10.63829787
Prev2AdOrPreClin_age92,Prev2Ad,0.1,0.05,0.195,0.05,0.13,10
Prev2AdOrPreClin_age97,Prev2Ad,0.1,0.05,0.195,0.05,0.13,10
Prev3AdOrPreClin_age27,Prev3PlusAd,0.021,0,0.06,0,0.06,47.61904762
Prev3AdOrPreClin_age32,Prev3PlusAd,0.024,0,0.1,0,0.1,41.66666667
Prev3AdOrPreClin_age37,Prev3PlusAd,0.03,0,0.12,0,0.12,33.33333333
Prev3AdOrPreClin_age42,Prev3PlusAd,0.04,0,0.18,0,0.18,25
Prev3AdOrPreClin_age47,Prev3PlusAd,0.06,0,0.2,0,0.2,16.66666667
Prev3AdOrPreClin_age52,Prev3PlusAd,0.07,0,0.25,0.01,0.25,14.28571429
Prev3AdOrPreClin_age57,Prev3PlusAd,0.09,0.01,0.28,0.01,0.28,11.11111111
Prev3AdOrPreClin_age62,Prev3PlusAd,0.11,0.01,0.32,0.01,0.32,9.090909091
Prev3AdOrPreClin_age67,Prev3PlusAd,0.13,0.01,0.37,0.01,0.37,7.692307692
Prev3AdOrPreClin_age72,Prev3PlusAd,0.15,0.01,0.41,0.01,0.41,6.666666667
Prev3AdOrPreClin_age77,Prev3PlusAd,0.18,0.01,0.47,0.01,0.47,5.555555556
Prev3AdOrPreClin_age82,Prev3PlusAd,0.21,0.01,0.51,0.01,0.51,4.761904762
