"target_names","target_groups","targets","scales","current_lower_bounds","current_upper_bounds","stopping_lower_bounds","stopping_upper_bounds"
"adeno_small","T1",73.171,1.475,43.6015,102.3475,63.1835,82.7655
"adeno_medium","T1",14.734,1.18,0,38.6225,7.1705,22.8965
"adeno_large","T1",12.14,1.087,0,34.236,5.204,19.72
"inc_us_0_19","T2",0,0,0,0.297,0,0.099
"inc_us_20_29","T2",0.815,0.066,0,7.785,0,2.595
"inc_us_30_39","T2",4.152,0.173,0,26.2785,0,8.7595
"inc_us_40_49","T2",20.668,0.436,0,78.2425,9.1945,32.2105
"inc_us_50_59","T2",69.338,0.797,0,174.413,48.365,90.381
"inc_us_60_69","T2",166.136,1.447,0,356.943,128.031,204.335
"inc_us_70_79","T2",309.199,2.594,0,651.202,240.898,377.666
"inc_us_80_99","T2",428.289,4.427,0,1012.102,311.734,545.19
"inc_uk","T3",55.822,0.335,1.75799999999998,109.901,48.105,63.554
"stage1_righ","T4A",10.222,0.203,0,33.738,6.878,13.593
"stage2_righ","T4A",37.831,0.326,0.263000000000027,75.408,32.468,43.203
"stage3_righ","T4A",26.447,0.296,0,60.632,21.572,31.337
"stage4_righ","T4A",25.5,0.293,0,59.284,20.684,30.334
"stage1_left","T4A",18.777,0.264,0,49.238,14.438,23.138
"stage2_left","T4A",34.512,0.321,0,71.5640000000001,29.224,39.809
"stage3_left","T4A",22.631,0.283,0,55.26,17.98,27.3
"stage4_left","T4A",24.081,0.289,0,57.41,19.33,28.85
"stage1_rect","T4A",26.614,0.324,0,64.004,21.284,31.964
"stage2_rect","T4A",27.44,0.327,0,65.162,22.062,32.837
"stage3_rect","T4A",24.539,0.315,0,60.9319999999999,19.352,29.747
"stage4_rect","T4A",21.406,0.3,0,56.103,16.463,26.373
"stage1_0_34","T4B",10.667,1.782,0,41.753,5.666,17.695
"stage2_0_34","T4B",31,2.67,0,75.835,22.615,40.355
"stage3_0_34","T4B",32.333,2.701,0,77.624,23.816,41.752
"stage4_0_34","T4B",26,2.532,0,68.743,18.187,35.039
"stage1_35_44","T4B",17.139,0.968,1.242,33.367,14.092,20.517
"stage2_35_44","T4B",27.95,1.152,8.973,47.148,24.243,31.878
"stage3_35_44","T4B",30.059,1.177,10.662,49.657,26.26,34.059
"stage4_35_44","T4B",24.852,1.11,6.588,43.368,21.3,28.656
"stage1_45_54","T4C",18.887,0.505,0,53.997,13.917,23.937
"stage2_45_54","T4C",29.014,0.586,0,69.665,23.237,34.844
"stage3_45_54","T4C",27.249,0.575,0,67.146,21.582,32.973
"stage4_45_54","T4C",24.85,0.558,0,63.585,19.353,30.411
"stage1_55_64","T4C",19.326,0.325,0,41.843,16.127,22.556
"stage2_55_64","T4C",31.34,0.381,4.94199999999999,57.757,27.577,35.122
"stage3_55_64","T4C",25.84,0.36,0.924999999999976,50.779,22.291,29.413
"stage4_55_64","T4C",23.495,0.349,0,47.658,20.058,26.958
"stage1_65_74","T4C",18.83,0.277,0,38.025,16.101,21.582
"stage2_65_74","T4C",33.594,0.334,10.437,56.763,30.291,36.909
"stage3_65_74","T4C",23.873,0.302,2.97800000000001,44.789,20.897,26.87
"stage4_65_74","T4C",23.703,0.301,2.85999999999999,44.566,20.734,26.692
"stage1_75_84","T4C",16.708,0.3,0,37.514,13.754,19.694
"stage2_75_84","T4C",36.357,0.387,9.568,63.16,32.536,40.192
"stage3_75_84","T4C",23.393,0.34,0,46.989,20.037,26.775
"stage4_75_84","T4C",23.542,0.341,0,47.201,20.177,26.933
"stage1_85_99","T4C",15.259,0.523,0,51.677,10.121,20.51
"stage2_85_99","T4C",39.28,0.71,0,88.585,32.257,46.339
"stage3_85_99","T4C",21.418,0.597,0,62.907,15.543,27.384
"stage4_85_99","T4C",24.042,0.622,0,67.239,17.919,30.249
"followup_inc_1999","T5",28.26767289,4.996,0,65.8235,14.642,48.763
"followup_inc_2001","T5",24.76407102,4.716,0,60.5175,12.066,44.367
"followup_inc_2003","T5",42.02149764,6.205,3.341,87.145,24.292,66.194
"followup_inc_2005","T5",48.27128898,6.729,6.1475,96.8175,28.815,74.15
"followup_inc_2007","T5",63.01383537,7.808,14.0485,119.2145,40.34,92.923
"followup_inc_2009","T5",48.73534495,8.458,0,111.742,25.39,82.958
"screen_det_r1_s1","T6",0.179,0.002,0,0.459,0.139,0.219
"screen_det_r1_s2","T6",0.063,0.001,0,0.238,0.038,0.088
"screen_det_r1_s3","T6",0.129,0.002,0,0.357,0.097,0.162
"screen_det_r1_s4","T6",0.024,0.001,0,0.112,0.012,0.037
"screen_det_r2_s1","T6",0.079,0.002,0,0.272,0.052,0.107
"screen_det_r2_s2","T6",0.029,0.001,0,0.152,0.012,0.047
"screen_det_r2_s3","T6",0.058,0.002,0,0.234,0.034,0.084
"screen_det_r2_s4","T6",0.011,0.001,0,0.081,0.00099999999999999,0.021
"screen_det_r3_s1","T6",0.074,0.002,0,0.337,0.037,0.112
"screen_det_r3_s2","T6",0.031,0.001,0,0.189,0.009,0.054
"screen_det_r3_s3","T6",0.051,0.002,0,0.262,0.022,0.082
"screen_det_r3_s4","T6",0.008,0.001,0,0.084,0,0.021
