"","AdOnset_Weibull_Shape","AdOnset_Weibull_Scale","AdOnsetPropensity_Gamma_Alpha","AdNaturalHistoryPropensity_Gaussian_Variance","AdNaturalHistoryPropensity_PreclinCancerProg_TampingTerm","AdNaturalHistoryPropensity_CancerOnset_TampingTerm","AdGrowth_Janoschek_Inflection","AdGrowth_Janoschek_Rate_P","AdGrowth_Janoschek_Rate_D","AdGrowth_Janoschek_Rate_R","PreclinCancerProg_Exp_Rate_P","PreclinCancerProg_Exp_Rate_D","PreclinCancerProg_Exp_Rate_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","pSxDetS2_P","pSxDetS2_D","pSxDetS2_R","pSxDetS3_P","pSxDetS3_D","pSxDetS3_R","pSxDetS4_P","pSxDetS4_D","pSxDetS4_R"
"2",2.2452407719465,8.31616521916169e-05,0.445141521502963,0.623439746474153,3.21859028732002,9.24449133753108,0.410215658202419,0.0629934732226501,0.0619613625594631,0.0652996465324148,0.196359195426819,0.195211831107731,0.18558715513104,0.003626986464307,0.0182504171101177,0.00136920310113881,0.0314289057156973,0.0207042572058517,0.0137590583016491,0.0503517887085997,0.0884698934496169,0.138524105400381,0.421138838240236,0.372717629242235,0.324526109371571,0.70988406285123,0.721837872256434,0.744748415465165,0.906726513342692,0.921167906119634,0.974399949984257
"3",2.33717056540405,5.50258308723848e-05,0.515789999955428,0.854899922025485,4.42121612192228,4.79026607278571,0.433622621638754,0.0505760164211021,0.0556565367733921,0.0591648252428738,0.184329982242623,0.198924943847704,0.210128126087367,0.00480434372006585,0.0161750014583075,0.00161990140898983,0.0285742155973583,0.0402623003078647,0.00162605266829003,0.0429616071125833,0.0852755695733525,0.178758148089971,0.377698226229687,0.397183710191977,0.380882629334813,0.681745714757196,0.735797860635896,0.853130034341818,0.975388065278589,0.952146118990642,0.91145739278005
"4",1.95970375446962,0.000260886639425379,0.457281940207479,0.64184691267909,3.95967104848839,3.13904284741022,0.480545272542414,0.0490268029424193,0.0479258754783779,0.0468814505270532,0.189331626478848,0.214828788538844,0.185245739029558,0.0034855908610305,0.0193581822189463,0.00118376495572282,0.0344788413081462,0.0391171843373935,0.00906557799122551,0.0444068108662553,0.100331504544127,0.130870462226275,0.338330546389123,0.422422022948624,0.352122974933565,0.736749436751582,0.784613764279344,0.672222254313382,0.943854282038577,0.963261405784465,0.981029728571453
"5",1.95908959690758,0.000278890584114461,0.482261697338142,0.515715056013542,3.26392400290058,1.55416505671826,0.529018472941212,0.0406656776707049,0.0474896897165645,0.0440453917577146,0.1907134626624,0.196525097322963,0.204488622211823,0.00325890497912185,0.0184880189800936,0.00100435915919167,0.0283785337180015,0.00569596414742492,0.0305890096102321,0.0511581262813844,0.0859326916282059,0.160960382512898,0.37989333350101,0.362272114032396,0.356288132506587,0.689333697214352,0.725946350121802,0.837208375921815,0.972749597712838,0.93557126301674,0.972061870581549
"7",2.25365408732006,6.42901411778185e-05,0.504888023840125,0.531733516550855,11.6183580512138,4.66871161394208,0.459202599387212,0.0497522344136866,0.0504646293578889,0.0618512319275963,0.193221360013992,0.225011364492881,0.226912517400834,0.00665505485131869,0.00992242523876529,0.00160542687632903,0.0246230249086046,0.00522408751611807,0.0329048882735295,0.0326215737620473,0.0937353325038212,0.163692122527746,0.316168117975736,0.287660749566446,0.289619448954155,0.721037852496346,0.86992465461605,0.878891558549289,0.91487322115728,0.966871348563324,0.94327519415419
"10",2.37114536672003,4.13492942868096e-05,0.470104312825917,0.768657160209544,3.63693751345609,9.95038742652641,0.470044335421888,0.0424230701360995,0.0477580359911391,0.0579665193463468,0.183723941052233,0.186013273275432,0.210022339772599,0.00973154789844825,0.010212497896502,0.00202220552505597,0.0313264431114804,0.0231216416853663,0.0085167846149421,0.0518115925530621,0.0770721227345611,0.175343992682847,0.413425579711931,0.346933495096796,0.405537100356662,0.678307921222213,0.696988343157561,0.873779783274858,0.98464874169919,0.999083812119124,0.957770058386587
"12",1.83459064614033,0.000500444058549098,0.465909338351826,0.435431978429713,3.2989624411349,1.35379511733892,0.491583346512205,0.0454649384507439,0.0539953018847591,0.0390940443097873,0.196075532563467,0.202107037947094,0.204860385440395,0.00183399960407351,0.0233829704644744,0.00159923504847187,0.0239201696009537,0.017799303714845,0.0536951636094582,0.0387736383622368,0.0825708420394635,0.192613359164857,0.3897795249585,0.3579907593705,0.358057844813057,0.665291952873079,0.72133771461182,0.881147832613942,0.962768361125543,0.932555783280708,0.961711588498961
"13",1.87678665240511,0.00036306741404802,0.464265283313731,0.624070042493118,2.28029796155607,1.87165568941897,0.525336149371476,0.0415268578990732,0.0435853716972953,0.0419679151540013,0.175000005683267,0.182999185552617,0.144475289546887,0.00206666122058855,0.0245578954200871,0.000953151486641554,0.0338398569585637,0.0412126253761581,0.0101096998393516,0.03205937922443,0.0911903355225181,0.106063793514966,0.342251331006581,0.416158170797253,0.269838618831175,0.744318312613539,0.811996758411908,0.669486968133078,0.907774250372709,0.974437863998902,0.963035952875892
"14",2.28905097835141,6.35141933072739e-05,0.550908117742552,0.838793687585548,4.21863993232799,4.24440268972367,0.46129226320853,0.0499351179406943,0.0575190504670336,0.0530558797608718,0.186174544182533,0.203760121367502,0.210418900683904,0.00354877801269882,0.0166498163314399,0.00229768383418104,0.017906858553075,0.0332686776190778,0.00372807444171559,0.0437663228913422,0.0853343690004206,0.184638523011797,0.368879431897282,0.404809622281178,0.400591834925859,0.661243813380052,0.766803604076389,0.883345718674724,0.982580027186143,0.908446489157937,0.970954787729736
"15",2.28836030003264,5.83129520601872e-05,0.520320631504878,0.55052677235758,5.15564122181935,1.93381493606841,0.448899825885157,0.0579733286942668,0.051977811590082,0.0625492066099765,0.204242692759439,0.187498459310601,0.209991260924191,0.0038288850269061,0.0170148383979094,0.0179934124766507,8.78978785201038e-05,0.0177919266593018,0.0150524398093846,0.0362836818645376,0.0665945688593565,0.149912965575214,0.40235844778269,0.356070965413633,0.32601396527829,0.652314857636651,0.652682041611301,0.817115069421707,0.917589414378139,0.917346180820987,0.905337868235539
"16",2.40490890898048,3.5897791709711e-05,0.442446545254266,0.696093168201289,6.24006776184213,17.6516296672225,0.368007253061904,0.066674576552618,0.0665711942096396,0.0669565698460868,0.205643450577884,0.233216847364446,0.211865615375504,0.00781914431911524,0.013306040028311,0.0046805443451121,0.0169253454007578,0.0574507927377289,0.00902780117913068,0.0373801027330624,0.100134709139978,0.157298400403248,0.410189348852165,0.467024902200586,0.289093880875408,0.666984730797845,0.845517004163797,0.860814887390584,0.925682637084528,0.941559022870085,0.923108168240241
